filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
2019-04-10-0bab367a-a38e-4517-ae56-39c6519e313a.jpg,74652,"{}",6,3,"{""name"":""polygon"",""all_points_x"":[212,213,221,223,212],""all_points_y"":[392,402,403,391,391]}","{""class"":""9"",""view"":"""",""with_content"":""""}"
2019-04-10-0bab367a-a38e-4517-ae56-39c6519e313a.jpg,74652,"{}",6,4,"{""name"":""polygon"",""all_points_x"":[226,226,230,230,226],""all_points_y"":[391,404,404,389,390]}","{""class"":""1"",""view"":"""",""with_content"":""""}"
2019-04-10-0bab367a-a38e-4517-ae56-39c6519e313a.jpg,74652,"{}",6,5,"{""name"":""polygon"",""all_points_x"":[183,184,241,239,183],""all_points_y"":[378,405,404,375,377]}","{""class"":""plate"",""view"":""topview"",""with_content"":""Yes""}"
2019-04-10-0df4357d-9471-4f68-89eb-947f2e4216aa.jpg,43350,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[401,402,444,442],""all_points_y"":[280,295,280,266]}","{""class"":""plate"",""view"":""slantview"",""with_content"":""No""}"
2019-04-10-0e0fce9a-3795-469e-a21e-abfdda871329.jpg,96721,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[141,141,146,150],""all_points_y"":[367,377,379,368]}","{""class"":""P"",""view"":"""",""with_content"":""""}"
2019-04-10-0e0fce9a-3795-469e-a21e-abfdda871329.jpg,96721,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[149,156,157,150],""all_points_y"":[380,380,370,369]}","{""class"":""E"",""view"":"""",""with_content"":""""}"
2019-04-10-0e0fce9a-3795-469e-a21e-abfdda871329.jpg,96721,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[133,132,139,140],""all_points_y"":[376,387,389,378]}","{""class"":""3"",""view"":"""",""with_content"":""""}"
2019-04-10-0e0fce9a-3795-469e-a21e-abfdda871329.jpg,96721,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[146,140,141,148,146],""all_points_y"":[389,389,377,379,389]}","{""class"":""5"",""view"":"""",""with_content"":""""}"
2019-04-10-0e0fce9a-3795-469e-a21e-abfdda871329.jpg,96721,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[154,146,149,157],""all_points_y"":[391,390,379,381]}","{""class"":""4"",""view"":"""",""with_content"":""""}"
2019-04-10-0e0fce9a-3795-469e-a21e-abfdda871329.jpg,96721,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[160,153,157,165],""all_points_y"":[392,391,379,382]}","{""class"":""7"",""view"":"""",""with_content"":""""}"
2019-04-10-0e0fce9a-3795-469e-a21e-abfdda871329.jpg,96721,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[131,131,129,163,169],""all_points_y"":[366,365,389,395,371]}","{""class"":""plate"",""view"":""slantview"",""with_content"":""Yes""}"
2019-04-10-0eb9fd58-3119-4b8e-a0b7-c51f92753870.jpg,35500,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[119,119,119,130,134,142,162,166,165],""all_points_y"":[296,300,308,308,316,324,324,314,296]}","{""class"":""plate"",""view"":""topview"",""with_content"":""No""}"
2019-04-10-0ed8b8f7-b8ed-41c1-b527-755df7f4d75a.jpg,22100,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[108,109,115,116],""all_points_y"":[234,243,242,233]}","{""class"":""V"",""view"":undefined,""with_content"":undefined}"
2019-04-10-0ed8b8f7-b8ed-41c1-b527-755df7f4d75a.jpg,22100,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[118,117,123,123],""all_points_y"":[233,241,241,233]}","{""class"":""J"",""view"":undefined,""with_content"":undefined}"
2019-04-10-0ed8b8f7-b8ed-41c1-b527-755df7f4d75a.jpg,22100,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[103,103,108,108],""all_points_y"":[243,249,250,241]}","{""class"":""4"",""view"":undefined,""with_content"":undefined}"
2019-04-10-0ed8b8f7-b8ed-41c1-b527-755df7f4d75a.jpg,22100,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[116,108,109,117],""all_points_y"":[250,249,241,242]}","{""class"":""8"",""view"":undefined,""with_content"":undefined}"
2019-04-10-0ed8b8f7-b8ed-41c1-b527-755df7f4d75a.jpg,22100,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[122,117,117,125],""all_points_y"":[249,250,241,241]}","{""class"":""7"",""view"":undefined,""with_content"":undefined}"
2019-04-10-0ed8b8f7-b8ed-41c1-b527-755df7f4d75a.jpg,22100,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[131,123,123,132],""all_points_y"":[249,249,240,240]}","{""class"":""2"",""view"":undefined,""with_content"":undefined}"
2019-04-10-0ed8b8f7-b8ed-41c1-b527-755df7f4d75a.jpg,22100,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[99,97,99,134,134],""all_points_y"":[232,235,252,252,231]}","{""class"":""plate"",""view"":""topview"",""with_content"":""Yes""}"
2019-04-10-0ee5bbfb-988b-412c-9edd-fac53ea0e5c1.jpg,40436,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[122,122,129,130],""all_points_y"":[379,387,387,378]}","{""class"":""N"",""view"":undefined,""with_content"":undefined}"
2019-04-10-0ee5bbfb-988b-412c-9edd-fac53ea0e5c1.jpg,40436,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[137,129,130,137],""all_points_y"":[386,387,378,379]}","{""class"":""M"",""view"":undefined,""with_content"":undefined}"
2019-04-10-0ee5bbfb-988b-412c-9edd-fac53ea0e5c1.jpg,40436,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[115,116,123,122],""all_points_y"":[388,396,395,387]}","{""class"":""6"",""view"":undefined,""with_content"":undefined}"
2019-04-10-0ee5bbfb-988b-412c-9edd-fac53ea0e5c1.jpg,40436,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[129,122,122,129],""all_points_y"":[395,395,387,387]}","{""class"":""3"",""view"":undefined,""with_content"":undefined}"
2019-04-10-0ee5bbfb-988b-412c-9edd-fac53ea0e5c1.jpg,40436,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[137,129,130,137],""all_points_y"":[395,394,386,386]}","{""class"":""4"",""view"":undefined,""with_content"":undefined}"
2019-04-10-0ee5bbfb-988b-412c-9edd-fac53ea0e5c1.jpg,40436,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[144,137,138,143],""all_points_y"":[395,395,386,387]}","{""class"":""4"",""view"":undefined,""with_content"":undefined}"
2019-04-10-0ee5bbfb-988b-412c-9edd-fac53ea0e5c1.jpg,40436,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[113,113,147,145],""all_points_y"":[380,396,396,378]}","{""class"":""plate"",""view"":""topview"",""with_content"":""Yes""}"
2019-04-10-0f66f620-5103-4e98-9304-ae141c5c8d8c.jpg,15689,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[81,119,118,81],""all_points_y"":[158,158,172,172]}","{""class"":""plate"",""view"":""topview"",""with_content"":""No""}"
2019-04-10-0f67662a-f7cc-4b26-ab3a-e3f1eee277a9.jpg,8964,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[122,122,125,155,153],""all_points_y"":[107,115,116,106,97]}","{""class"":""plate"",""view"":""slantview"",""with_content"":""No""}"
2019-04-10-01c873ec-2270-4419-8276-32b41e67cb4e.jpg,70178,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[73,77,81,84],""all_points_y"":[698,709,709,696]}","{""class"":""V"",""view"":undefined,""with_content"":undefined}"
2019-04-10-01c873ec-2270-4419-8276-32b41e67cb4e.jpg,70178,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[84,97,94,88,85],""all_points_y"":[709,709,702,696,697]}","{""class"":""L"",""view"":undefined,""with_content"":undefined}"
2019-04-10-01c873ec-2270-4419-8276-32b41e67cb4e.jpg,70178,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[102,103,113,112],""all_points_y"":[697,709,709,695]}","{""class"":""8"",""view"":undefined,""with_content"":undefined}"
2019-04-10-01c873ec-2270-4419-8276-32b41e67cb4e.jpg,70178,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[115,114,125,126],""all_points_y"":[696,708,708,695]}","{""class"":""5"",""view"":undefined,""with_content"":undefined}"
2019-04-10-01c873ec-2270-4419-8276-32b41e67cb4e.jpg,70178,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[128,126,136,137],""all_points_y"":[695,707,707,694]}","{""class"":""9"",""view"":undefined,""with_content"":undefined}"
2019-04-10-01c873ec-2270-4419-8276-32b41e67cb4e.jpg,70178,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[139,137,147,148],""all_points_y"":[694,707,707,694]}","{""class"":""7"",""view"":undefined,""with_content"":undefined}"
2019-04-10-01c873ec-2270-4419-8276-32b41e67cb4e.jpg,70178,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[70,71,152,152],""all_points_y"":[695,710,708,692]}","{""class"":""P"",""view"":""topview"",""with_content"":""Yes""}"
2019-04-10-01d57ff1-da04-47ca-8e33-a9f7e2f15df0.jpg,22708,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[123,125,133,133],""all_points_y"":[138,147,147,137]}","{""class"":""U"",""view"":undefined,""with_content"":undefined}"
2019-04-10-01d57ff1-da04-47ca-8e33-a9f7e2f15df0.jpg,22708,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[141,133,133,140],""all_points_y"":[146,146,136,136]}","{""class"":""G"",""view"":undefined,""with_content"":undefined}"
2019-04-10-01d57ff1-da04-47ca-8e33-a9f7e2f15df0.jpg,22708,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[117,117,125,125],""all_points_y"":[146,157,157,146]}","{""class"":""5"",""view"":undefined,""with_content"":undefined}"
2019-04-10-01d57ff1-da04-47ca-8e33-a9f7e2f15df0.jpg,22708,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[132,125,126,132],""all_points_y"":[156,156,146,147]}","{""class"":""9"",""view"":undefined,""with_content"":undefined}"
2019-04-10-01d57ff1-da04-47ca-8e33-a9f7e2f15df0.jpg,22708,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[140,132,133,140],""all_points_y"":[156,157,146,146]}","{""class"":""2"",""view"":undefined,""with_content"":undefined}"
2019-04-10-01d57ff1-da04-47ca-8e33-a9f7e2f15df0.jpg,22708,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[149,140,141,149],""all_points_y"":[155,156,145,146]}","{""class"":""7"",""view"":undefined,""with_content"":undefined}"
2019-04-10-01d57ff1-da04-47ca-8e33-a9f7e2f15df0.jpg,22708,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[114,115,152,152],""all_points_y"":[138,158,156,136]}","{""class"":""plate"",""view"":""topview"",""with_content"":""Yes""}"
2019-04-10-1a2d98d6-76a6-4a9d-8fd9-7451f0b35760.jpg,44008,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[128,131,137,137],""all_points_y"":[373,381,381,372]}","{""class"":""S"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1a2d98d6-76a6-4a9d-8fd9-7451f0b35760.jpg,44008,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[146,138,137,145],""all_points_y"":[380,381,372,371]}","{""class"":""B"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1a2d98d6-76a6-4a9d-8fd9-7451f0b35760.jpg,44008,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[130,130,122,124,129],""all_points_y"":[391,389,390,381,381]}","{""class"":""4"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1a2d98d6-76a6-4a9d-8fd9-7451f0b35760.jpg,44008,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[137,130,130,138],""all_points_y"":[390,390,380,380]}","{""class"":""7"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1a2d98d6-76a6-4a9d-8fd9-7451f0b35760.jpg,44008,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[146,137,138,146],""all_points_y"":[389,390,381,381]}","{""class"":""0"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1a2d98d6-76a6-4a9d-8fd9-7451f0b35760.jpg,44008,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[154,145,146,153],""all_points_y"":[389,389,380,380]}","{""class"":""7"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1a2d98d6-76a6-4a9d-8fd9-7451f0b35760.jpg,44008,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[119,120,156,156],""all_points_y"":[373,391,388,372]}","{""class"":""plate"",""view"":""topview"",""with_content"":""Yes""}"
2019-04-10-1a5eb791-335d-44ff-9824-fc3d5a3d68a7.jpg,63808,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[401,402,429,427],""all_points_y"":[331,348,338,320]}","{""class"":""plate"",""view"":""slantview"",""with_content"":""No""}"
2019-04-10-1a806756-d906-4759-9a28-c0a99b7cc712.jpg,54350,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[79,78,85,87],""all_points_y"":[198,208,210,199]}","{""class"":""R"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1a806756-d906-4759-9a28-c0a99b7cc712.jpg,54350,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[88,86,90,92],""all_points_y"":[203,212,214,206]}","{""class"":""Y"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1a806756-d906-4759-9a28-c0a99b7cc712.jpg,54350,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[97,97,93,99,103],""all_points_y"":[210,210,218,223,212]}","{""class"":""4"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1a806756-d906-4759-9a28-c0a99b7cc712.jpg,54350,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[106,99,104,111],""all_points_y"":[226,222,211,216]}","{""class"":""5"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1a806756-d906-4759-9a28-c0a99b7cc712.jpg,54350,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[110,107,111,113],""all_points_y"":[229,227,216,218]}","{""class"":""1"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1a806756-d906-4759-9a28-c0a99b7cc712.jpg,54350,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[116,109,114,120],""all_points_y"":[233,229,218,223]}","{""class"":""8"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1a806756-d906-4759-9a28-c0a99b7cc712.jpg,54350,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[78,74,120,121,126],""all_points_y"":[193,207,237,236,223]}","{""class"":""plate"",""view"":""slantview"",""with_content"":""Yes""}"
2019-04-10-1b9cda4a-d1a1-4dba-8521-57d95cf5f5bc.jpg,56586,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[339,339,377,376],""all_points_y"":[302,311,300,291]}","{""class"":""plate"",""view"":""slantview"",""with_content"":""No""}"
2019-04-10-1bbbe467-b94e-4967-9f20-14e36e60722a.jpg,81165,"{}",6,0,"{""name"":""polygon"",""all_points_x"":[127,130,138,139],""all_points_y"":[458,471,471,457]}","{""class"":""V"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1bbbe467-b94e-4967-9f20-14e36e60722a.jpg,81165,"{}",6,1,"{""name"":""polygon"",""all_points_x"":[152,139,140,151],""all_points_y"":[472,472,457,457]}","{""class"":""H"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1bbbe467-b94e-4967-9f20-14e36e60722a.jpg,81165,"{}",6,2,"{""name"":""polygon"",""all_points_x"":[125,125,134,138],""all_points_y"":[471,486,485,472]}","{""class"":""7"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1bbbe467-b94e-4967-9f20-14e36e60722a.jpg,81165,"{}",6,3,"{""name"":""polygon"",""all_points_x"":[142,136,137,142],""all_points_y"":[486,486,472,472]}","{""class"":""1"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1bbbe467-b94e-4967-9f20-14e36e60722a.jpg,81165,"{}",6,4,"{""name"":""polygon"",""all_points_x"":[154,143,143,154],""all_points_y"":[486,486,471,473]}","{""class"":""2"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1bbbe467-b94e-4967-9f20-14e36e60722a.jpg,81165,"{}",6,5,"{""name"":""polygon"",""all_points_x"":[111,111,167,167],""all_points_y"":[457,485,487,457]}","{""class"":""plate"",""view"":""topview"",""with_content"":""Yes""}"
2019-04-10-1e8c90cc-4236-4358-b815-b95dab59bfd7.jpg,17345,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[138,140,158,158],""all_points_y"":[146,159,155,142]}","{""class"":""plate"",""view"":""slantview"",""with_content"":""No""}"
2019-04-10-1e1113dc-9b13-40cf-87be-9cff776a5032.jpg,49407,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[83,81,102,105],""all_points_y"":[328,335,348,339]}","{""class"":""plate"",""view"":""slantview"",""with_content"":""No""}"
2019-04-10-1e1541d2-1f2f-4591-872e-c89bf2a1cfa7.jpg,13265,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[76,77,82,82],""all_points_y"":[148,158,157,148]}","{""class"":""V"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1e1541d2-1f2f-4591-872e-c89bf2a1cfa7.jpg,13265,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[84,84,90,90],""all_points_y"":[148,157,156,148]}","{""class"":""K"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1e1541d2-1f2f-4591-872e-c89bf2a1cfa7.jpg,13265,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[95,95,102,102],""all_points_y"":[148,156,156,148]}","{""class"":""8"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1e1541d2-1f2f-4591-872e-c89bf2a1cfa7.jpg,13265,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[103,103,108,107],""all_points_y"":[148,156,155,147]}","{""class"":""7"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1e1541d2-1f2f-4591-872e-c89bf2a1cfa7.jpg,13265,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[109,109,112,111],""all_points_y"":[147,156,155,147]}","{""class"":""1"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1e1541d2-1f2f-4591-872e-c89bf2a1cfa7.jpg,13265,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[114,114,120,120],""all_points_y"":[148,155,155,147]}","{""class"":""4"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1e1541d2-1f2f-4591-872e-c89bf2a1cfa7.jpg,13265,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[72,73,95,103,118,124,123],""all_points_y"":[147,159,159,157,156,154,145]}","{""class"":""plate"",""view"":""topview"",""with_content"":""Yes""}"
2019-04-10-1f27ecbb-e364-441e-bfb1-8235d0c44eba.jpg,13317,"{}",1,0,"{""name"":""polygon"",""all_points_x"":[99,100,128,128],""all_points_y"":[150,165,165,150]}","{""class"":""plate"",""view"":""topview"",""with_content"":""No""}"
2019-04-10-1f209164-66fa-414f-80b5-ed108e1ae4a0.jpg,66346,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[96,96,101,102],""all_points_y"":[286,295,295,286]}","{""class"":""R"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1f209164-66fa-414f-80b5-ed108e1ae4a0.jpg,66346,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[108,102,103,110],""all_points_y"":[296,295,286,288]}","{""class"":""P"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1f209164-66fa-414f-80b5-ed108e1ae4a0.jpg,66346,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[118,111,113,120],""all_points_y"":[300,298,288,289]}","{""class"":""2"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1f209164-66fa-414f-80b5-ed108e1ae4a0.jpg,66346,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[124,118,121,126],""all_points_y"":[301,298,290,291]}","{""class"":""4"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1f209164-66fa-414f-80b5-ed108e1ae4a0.jpg,66346,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[132,125,127,132],""all_points_y"":[302,300,290,292]}","{""class"":""5"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1f209164-66fa-414f-80b5-ed108e1ae4a0.jpg,66346,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[138,131,134,139,138],""all_points_y"":[303,301,291,293,298]}","{""class"":""9"",""view"":undefined,""with_content"":undefined}"
2019-04-10-1f209164-66fa-414f-80b5-ed108e1ae4a0.jpg,66346,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[94,94,139,140],""all_points_y"":[284,296,305,291]}","{""class"":""plate"",""view"":""slantview"",""with_content"":""Yes""}"
2019-04-10-02ee0b28-88d4-40bc-920e-6d37fe0580ea.jpg,25574,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[104,104,110,110],""all_points_y"":[199,207,206,199]}","{""class"":""T"",""view"":undefined,""with_content"":undefined}"
2019-04-10-02ee0b28-88d4-40bc-920e-6d37fe0580ea.jpg,25574,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[111,112,119,117],""all_points_y"":[199,206,206,198]}","{""class"":""N"",""view"":undefined,""with_content"":undefined}"
2019-04-10-02ee0b28-88d4-40bc-920e-6d37fe0580ea.jpg,25574,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[120,120,126,127],""all_points_y"":[199,206,206,198]}","{""class"":""9"",""view"":undefined,""with_content"":undefined}"
2019-04-10-02ee0b28-88d4-40bc-920e-6d37fe0580ea.jpg,25574,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[128,127,133,134],""all_points_y"":[198,206,206,199]}","{""class"":""7"",""view"":undefined,""with_content"":undefined}"
2019-04-10-02ee0b28-88d4-40bc-920e-6d37fe0580ea.jpg,25574,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[135,134,140,141],""all_points_y"":[198,207,207,197]}","{""class"":""6"",""view"":undefined,""with_content"":undefined}"
2019-04-10-02ee0b28-88d4-40bc-920e-6d37fe0580ea.jpg,25574,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[142,142,146,147],""all_points_y"":[198,205,205,199]}","{""class"":""7"",""view"":undefined,""with_content"":undefined}"
2019-04-10-02ee0b28-88d4-40bc-920e-6d37fe0580ea.jpg,25574,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[102,102,149,149],""all_points_y"":[196,208,208,198]}","{""class"":""plate"",""view"":""topview"",""with_content"":""Yes""}"
2019-04-10-2acfe606-5abc-4678-88ca-3a65c82e42c4.jpg,86366,"{}",7,0,"{""name"":""polygon"",""all_points_x"":[223,228,240,239],""all_points_y"":[433,446,446,431]}","{""class"":""U"",""view"":undefined,""with_content"":undefined}"
2019-04-10-2acfe606-5abc-4678-88ca-3a65c82e42c4.jpg,86366,"{}",7,1,"{""name"":""polygon"",""all_points_x"":[241,242,255,255],""all_points_y"":[432,446,446,430]}","{""class"":""G"",""view"":undefined,""with_content"":undefined}"
2019-04-10-2acfe606-5abc-4678-88ca-3a65c82e42c4.jpg,86366,"{}",7,2,"{""name"":""polygon"",""all_points_x"":[211,212,225,224],""all_points_y"":[447,462,461,445]}","{""class"":""6"",""view"":undefined,""with_content"":undefined}"
2019-04-10-2acfe606-5abc-4678-88ca-3a65c82e42c4.jpg,86366,"{}",7,3,"{""name"":""polygon"",""all_points_x"":[228,228,240,241],""all_points_y"":[447,462,461,446]}","{""class"":""6"",""view"":undefined,""with_content"":undefined}"
2019-04-10-2acfe606-5abc-4678-88ca-3a65c82e42c4.jpg,86366,"{}",7,4,"{""name"":""polygon"",""all_points_x"":[244,244,256,256],""all_points_y"":[448,461,461,446]}","{""class"":""4"",""view"":undefined,""with_content"":undefined}"
2019-04-10-2acfe606-5abc-4678-88ca-3a65c82e42c4.jpg,86366,"{}",7,5,"{""name"":""polygon"",""all_points_x"":[258,258,271,270],""all_points_y"":[446,460,459,445]}","{""class"":""8"",""view"":undefined,""with_content"":undefined}"
2019-04-10-2acfe606-5abc-4678-88ca-3a65c82e42c4.jpg,86366,"{}",7,6,"{""name"":""polygon"",""all_points_x"":[208,206,274,275],""all_points_y"":[462,431,430,461]}","{""class"":""plate"",""view"":""topview"",""with_content"":""Yes""}"
2019-04-10-2c56a209-7360-41f2-b624-8d2a5fda0972.jpg,37780,"{}",6,0,"{""name"":""polygon"",""all_points_x"":[104,103,112,112],""all_points_y"":[302,314,315,302]}","{""class"":""K"",""view"":undefined,""with_content"":undefined}"
2019-04-10-2c56a209-7360-41f2-b624-8d2a5fda0972.jpg,37780,"{}",6,1,"{""name"":""polygon"",""all_points_x"":[114,113,122,122],""all_points_y"":[303,315,314,303]}","{""class"":""A"",""view"":undefined,""with_content"":undefined}"
2019-04-10-2c56a209-7360-41f2-b624-8d2a5fda0972.jpg,37780,"{}",6,2,"{""name"":""polygon"",""all_points_x"":[126,125,133,134],""all_points_y"":[303,314,314,303]}","{""class"":""4"",""view"":undefined,""with_content"":undefined}"
